kind,mean_k,gamma,strategy,w,beta,rho0,rho,stderr
fig5_scan,6,0.02,random,0,0.4,0.5,0.52627628,0
fig5_scan,6,0.02,random,0.2,0.4,0.5,0.21006006,0
fig5_scan,6,0.02,random,0.4,0.4,0.5,0.43183183,0
fig5_scan,6,0.02,random,0.6,0.4,0.5,0.0055555556,0
fig5_wc,6,0.02,random,0.6,0.4,0.5,,
fig5_scan,6,0.02,si1,0,0.25,0.5,0.37132132,0
fig5_scan,6,0.02,si1,0.2,0.25,0.5,0.097447447,0
fig5_scan,6,0.02,si1,0.4,0.25,0.5,0.027627628,0
fig5_scan,6,0.02,si1,0.6,0.25,0.5,0.057657658,0
fig5_scan,6,0.02,si1,0.8,0.25,0.5,0.10585586,0
fig5_scan,6,0.02,si1,1,0.25,0.5,0.045195195,0
fig5_wc,6,0.02,si1,1,0.25,0.5,,
fig5_scan,6,0.02,si1,0,0.3,0.5,0.42282282,0
fig5_scan,6,0.02,si1,0.2,0.3,0.5,0.41756757,0
fig5_scan,6,0.02,si1,0.4,0.3,0.5,0.25225225,0
fig5_scan,6,0.02,si1,0.6,0.3,0.5,0.12402402,0
fig5_scan,6,0.02,si1,0.8,0.3,0.5,0.12462462,0
fig5_scan,6,0.02,si1,1,0.3,0.5,0.20570571,0
fig5_wc,6,0.02,si1,1,0.3,0.5,,
fig5_scan,6,0.02,si1,0,0.35,0.5,0.52282282,0
fig5_scan,6,0.02,si1,0.2,0.35,0.5,0.37972973,0
fig5_scan,6,0.02,si1,0.4,0.35,0.5,0.24774775,0
fig5_scan,6,0.02,si1,0.6,0.35,0.5,0.029429429,0
fig5_scan,6,0.02,si1,0.8,0.35,0.5,0.048198198,0
fig5_scan,6,0.02,si1,1,0.35,0.5,0.04039039,0
fig5_wc,6,0.02,si1,1,0.35,0.5,,
fig5_scan,6,0.02,si1,0,0.4,0.5,0.52627628,0
fig5_scan,6,0.02,si1,0.2,0.4,0.5,0.20600601,0
fig5_scan,6,0.02,si1,0.4,0.4,0.5,0.18213213,0
fig5_scan,6,0.02,si1,0.6,0.4,0.5,0.11681682,0
fig5_scan,6,0.02,si1,0.8,0.4,0.5,0.11666667,0
fig5_scan,6,0.02,si1,1,0.4,0.5,0.065165165,0
fig5_wc,6,0.02,si1,1,0.4,0.5,,
fig5_scan,6,0.02,si2,0,0.25,0.5,0.37132132,0
fig5_scan,6,0.02,si2,0.2,0.25,0.5,0.067117117,0
fig5_scan,6,0.02,si2,0.4,0.25,0.5,0.023423423,0
fig5_scan,6,0.02,si2,0.6,0.25,0.5,0.13798799,0
fig5_scan,6,0.02,si2,0.8,0.25,0.5,0.10990991,0
fig5_scan,6,0.02,si2,1,0.25,0.5,0.13618619,0
fig5_wc,6,0.02,si2,1,0.25,0.5,,
fig5_scan,6,0.02,si2,0,0.3,0.5,0.42282282,0
fig5_scan,6,0.02,si2,0.2,0.3,0.5,0.22237237,0
fig5_scan,6,0.02,si2,0.4,0.3,0.5,0.27417417,0
fig5_scan,6,0.02,si2,0.6,0.3,0.5,0.071321321,0
fig5_scan,6,0.02,si2,0.8,0.3,0.5,0.059459459,0
fig5_scan,6,0.02,si2,1,0.3,0.5,0.038138138,0
fig5_wc,6,0.02,si2,1,0.3,0.5,,
fig5_scan,6,0.02,si2,0,0.35,0.5,0.52282282,0
fig5_scan,6,0.02,si2,0.2,0.35,0.5,0.34144144,0
fig5_scan,6,0.02,si2,0.4,0.35,0.5,0.10135135,0
fig5_scan,6,0.02,si2,0.6,0.35,0.5,0.23363363,0
fig5_scan,6,0.02,si2,0.8,0.35,0.5,0.196997,0
fig5_scan,6,0.02,si2,1,0.35,0.5,0.17882883,0
fig5_wc,6,0.02,si2,1,0.35,0.5,,
fig5_scan,6,0.02,si2,0,0.4,0.5,0.52627628,0
fig5_scan,6,0.02,si2,0.2,0.4,0.5,0.40795796,0
fig5_scan,6,0.02,si2,0.4,0.4,0.5,0.34339339,0
fig5_scan,6,0.02,si2,0.6,0.4,0.5,0.018618619,0
fig5_wc,6,0.02,si2,0.6,0.4,0.5,,
fig5_scan,6,0.02,si3,0,0.25,0.5,0.37132132,0
fig5_scan,6,0.02,si3,0.2,0.25,0.5,0.023273273,0
fig5_scan,6,0.02,si3,0.4,0.25,0.5,0.011561562,0
fig5_wc,6,0.02,si3,0.4,0.25,0.5,,
fig5_scan,6,0.02,si3,0,0.3,0.5,0.42282282,0
fig5_scan,6,0.02,si3,0.2,0.3,0.5,0.45600601,0
fig5_scan,6,0.02,si3,0.4,0.3,0.5,0.346997,0
fig5_scan,6,0.02,si3,0.6,0.3,0.5,0.10720721,0
fig5_scan,6,0.02,si3,0.8,0.3,0.5,0.22012012,0
fig5_scan,6,0.02,si3,1,0.3,0.5,0.042342342,0
fig5_wc,6,0.02,si3,1,0.3,0.5,,
fig5_scan,6,0.02,si3,0,0.35,0.5,0.52282282,0
